LinkedIn Name,Corpus
Kamal Sharma,"Kamal Sharma is the Chief Executive Officer of WeCare. He is based in New Delhi, India. His background includes Leading WeCare- unique initiative. He has worked in the environmental services industry for 4 years. His current role includes leading WeCare's collection management post consumer plastics initiative."
Kamesh SALAM,Kamesh Salam leads company provides value chain management solutions bamboo cane. 25 years experience bamboo sector Kamesh developed expertise bamboo processing skill development capacity building planning machinery development strategies worked international organizations UNIDO World Bamboo Organization National Bamboo Mission India promote business sustainability bamboo. Founder World B bamboo Day global initiative raise awareness appreciation bamboo natural resource environmental solution.
Yogesh Patil,"Yogesh Patil is the CEO of Skymet Weather Services Pvt. Ltd. He is based in Mumbai, Maharashtra, India. He has been working at the company for 6 years 2 months. His mission is to empower communities to address climate change and agri weather data."
Srinivasan Sekar,"Srinivasan Sekar is the Founder Director MD CEO of TerraCura Solutions private Limited. He is based in Bengaluru, Karnataka, India. His background includes 30 + years products services industry experience. He has worked for 10 years 3 months in his current role."
Iwan Richard,Iwan Richard currently working Founder CEO Reneonix. Based Chennai Tamil Nadu India Environmental Services industry. passionate reshaping landscape waste management entrepreneurial vision cleantech solutions relentless commitment glass recycling lead team pioneering smart technology microfactories drive environmental stewardship transform waste valuable resources positive impact planet.
Raviraj Pawar,"Raviraj Pawar is the Co Founder CEO of Baroda Rapids, a packaging company based in Vadodara, Gujarat, India. His background includes CPCB Government Certified Manufacturer Compostable Biodegradable Plastic Packaging Products like Mailer Courier Bags and Garbage Bags. His motto is making plastics better."
Manas V.,Manas V. currently working Chief Executive Officer SQR M Business Consulting Pvt Ltd. based in Noida Uttar Pradesh India. background includes Sucessful analysis cases like Sulabh international Railways PPP Airport Bidding process DIAL   MIAL                                                Ongoing Project    SELF SUSTAINED KUMBH project covering different facets infrastructure development challenges associated with organizing Maha Kumbh.
Harsh Mehrotra,Harsh Mehrotra currently working Co Founder CEO Blue Planet Skills Pvt Ltd. Based in New Delhi Delhi India Environmental Services industry. Background includes Blue nudge unique platform gives learners nudge responsible earth. Blue Nudge simple effective way learners use resources efficiently earn Planet Warrior Certification.
Amit Malik,"Amit Malik is the Co Founder and CEO of Amdus Technologies Pvt. Ltd. He is based in Noida, Uttar Pradesh, India. His background includes nan industry. He has been working at the company for 3 years and 6 months. For more information, visit www.amdustechnologies.com."
Nuriel Pezarkar,"Nuriel Pezarkar is the Founder and CEO of NobleExchange Environment Solutions Pvt Ltd. He is based in Pune, Maharashtra, India. His background includes start-ups, start-up management, and business strategy. He has worked for 11 years 2 months in his current role."
Kumar Rajesh,Kumar Rajesh is the Chief Executive Officer of Encore Capabilities Services. His background includes 25 years experience in the retail lifestyle consumer goods industry. He is a passionate curious learner creative strategic thinker driven collaborative leader. He believes empowering inspiring achieve potential is the key to success.
Abhishek Nath,"Abhishek Nath is the Managing Director of Ixora Corporate Services Pvt Ltd. He is the founder and CEO of LooCafé, a sustainable public toilet company. He has 15 years experience in facility management. His company is based in Telangana, India."
Samir Gora,ophobic    Samir Gora currently working Chief Executive Officer GREENMEC Technology Solutions. Currently associated with GreenMek Technology Services Strategic Business Director Technology Action Rural Advancement. Gora's background includes 25 years qualitative managerial experience industrial sales Material Handling Building Materials Waste Paper Recycling Technology eminent organizations.
Gaurav Thakral,"Gaurav Thakral is the Chief Executive Officer Director of Avant Garde Cleanroom Engg Solutions Pvt Ltd. He has worked in the environmental services industry for 14 years. His background includes Negotiation, Business Planning, Operations, Management and Contract Management. He is based in West Delhi, India."
Vishal Kumar,"Vishal Kumar is the Chief Executive Officer of Waste Warriors Society. He is passionate about reducing managing forms of waste. Vishal has worked for 3 years and 9 months in the waste management industry. He has been involved in waste management for more than 30 years. He was born in Dehradun, Uttarakhand, India."
AJAY SHAH,"Ajay Shah is the CEO of Aquafil Polymers Co. Pvt. Ltd. He is from Ahmedabad, Gujarat, India. He has worked in the nan industry for more than a decade. His background includes nan industry, nanotechnology and nanomaterials."
Sandeep Matta,"Sandeep Matta is the C.E.O. of EnWe Clean Technologies. He is based in Delhi, India. His background includes stop solution provider Environmental needs like Environmental Compliance. He has worked for 6 years 1 months at his current company. For more information, visit www.enwecleantechnologies.com."
Roshni Udyavar Yehuda,Roshni Udyavar Yehuda currently working Chief Executive Officer RUA Ecospaces. He is based in Mumbai Maharashtra India nan industry. He has 20 years academic professional experience travelled widely professional assignments 20 countries. He is a member of the Indian Institute Architect Green Sustainability Committee 2023 25 empanelled Goa Govt BEE certified Master Trainer.
Dr. Harshit Mishra,Dr. Harshit Mishra is the founder and CEO of EHM Consultancy Pvt Ltd. He is also the founder of ClimAgro Analytics Private Limited. His Ph.D. research delved quantifying water land pollutants and landfill sites. He has 10 years experience designing environmental system solutions.
Rajendra Prasad,"Rajendra Prasad is the CEO of GreenSecure Power Systems Private Limite. His background includes nan industry. He is based in Hyderabad Telangana, India. He has worked for the company for 9 years and is currently working on a five-year contract."
Sekhar C,"Sekhar C currently working Founder CEO Aakri App kerala Recycle Initiative. Based Kochi Kerala India Public Safety industry. Background includes nan, nanotechnology, nanomaterials, nanowire, nanotech, nanotechnology, nanocarbon, nanobot."
Dr.Rathin Sharma,"Dr. Rathin Sharma is the Chief Executive Officer of En Geo Consultancy Research Centre. His background includes nan industry and nanotechnology. He is based in Guwahati Assam, India. For more information, visit his website: www.engeoresearch.com."
Chandan Sarkar,"Chandan Sarkar is CEO of Raybon Chemicals Allied Products. Company recycles 10,000 m3 of effluent water every day. Company is based in Vadodara, Gujarat, India. Sarkar's background includes humble man clean dirty water living."
Dhaval Shah,"Dhaval Shah is CEO of Tiger Estates based in Surat Gujarat, India. His background includes Civil Environmental Engineering projects including wastewater treatment design and water treatment plant design. He is a graduate of the Indian Institute of Technology, Ahmedabad. He has worked in the real estate industry for 12 years."
Harshad Fatehpuria,"Harshad Fatehpuria is the Chief Executive Officer of Thermarex. He is based in Surat, Gujarat, India. He has worked in the textile industry for 4 years and is passionate about the Circular Economy. His background includes entrepreneur keen interest and a love of fashion."
Anand Gupta,Anand Gupta currently working CEO CoFounder C2Z DeCarbonisation Net Zero MarketPlace. Based Indore Madhya Pradesh India Environmental Services industry. background includes EQ International 2009 Years Serving Renewables Sector Print Digital Publications Online Offline Events Conferences Trainings Research Market Intelligence Services Award Functions HR Services etc.
Suvranil Majumdar,Suvranil Majumdar is the Managing Director CEO of Global Development Incubator South Asia. He is also the Founding Member of Harvard Climate Entrepreneurship Circle. He has 18 years leadership experience in international development organizations. He also has a Master of public policy degree from Harvard Kennedy School.
S.K.Kathiresh Swaminathan Kaliappa Gounder,Kathiresh Swaminathan Kaliappa Gounder currently working Cheif executive officer CARBON DYNAMIX PRIVATE LIMITED. Based Hyderabad Telangana India Environmental Services industry. background includes CARBon DYNamix PRIVate LIMITED FOUNDER   C.E.O    S.K.
Joseph Rexon,"Joseph Rexon is the Chief Executive Officer of Rehoboth Sustainability India Pvt Ltd. His background includes growing agroforest 20 years empowering subsistence farmers. He is based in Chennai, Tamil Nadu, India. He has been working at the company for 2 years."
Bhavik Shah CEO - ADDON ENVIROTECH,"Bhavik Shah is CEO of Addon Envirotech. He is based in Ahmedabad, Gujarat, India. His background includes 15 years experience in water waste water treatment company. His company provides Speciality water treatment chemicals and water treatment components like RO UF NF Membranes. He has been CEO for 6 years 1 months."
Raj Arya,"Raj Arya is CEO of HITECH ENVIRO ENGINEERS CONSULTANTS. He is based in Jhajjar Haryana, India. His background includes nan industry. He has been working at the company for 16 years and is currently working on a new project."
Praveen Panwar,"Praveen Panwar currently working Founder CEO Airvista Environment Consultant Pvt Ltd. He is recognized India premier environmental consultants having successfully completed 2,500 projects nationwide. Panwar's background includes mechanical engineer, marine engineering, and telecommunications industry. He was born in Noida Uttar Pradesh, India."
Abhishek Rajdeep,"Abhishek Rajdeep is the Co Founder CEO of Everain Global Services. He is based in Delhi, India. He has years of experience in forestry and environmental services. His LinkedIn page says he is a results driven professional with a passion for innovation and sustainability. For more information, visit his LinkedIn page."
Sweta Singh,"Sweta Singh is the founder and CEO of Greengo Consultancy LLP. She is based in Bengaluru, Karnataka, India. Her background includes Renewable Energy Advisory. She has worked in the environmental services industry for two years and two months. Sweta is also the co-founder of the Greengo Advisory firm."
Srinivas Krishnaswamy,"Srinivas Krishnaswamy is the Chief Executive Officer of C E O Vasudha Foundation India. He has worked in the environmental services industry for 14 years. His background includes business development professional and Nonprofit Organizations. He is a graduate of the Indian Institute of Technology, Delhi."
Mukundhan M,Mukundhan M currently working C.E.O. based in Chennai Tamil Nadu India. Background includes nan industry. Currently working as C.e.O for a nan industry company. Has been working in the industry for 27 years 4 months. Has worked in the nan industry for 7 years.
Sagar Shah,"Sagar Shah is the Chief Executive Officer of LifeFirst Concepts Technologies Pvt Ltd. He is based in Pune, Maharashtra, India. His background includes Business Coach and nan industry experience. He has been working in the nan industry for 5 years and is currently working on his second project."
Arun Gupta,"Arun Gupta is the founder and CEO of ArCh Enviro Equipment Pvt Ltd. He is based in Vadodara, Gujarat, India. He has worked for the company for 4 years and 1 months. His background includes clean wastewater continual upgradation design."
Sanjeet Sharma,"Sanjeet Sharma is the Chief Executive Officer of AllGeo Solutions. He is based in Prayagraj, Uttar Pradesh, India. He has worked in the environmental services industry for 8 years. His background includes nan, nan, and nan. He was born and raised in Uttar Pradesh and is a graduate of the University of Delhi."
Sanjay Bahl,"Sanjay Bahl is the Chief Executive Officer of Superweld Ecosolutions. He has 13 years experience in the field of wastewater management. His company provides innovative eco friendly solutions to environmental problems. He is passionate about transforming businesses and sustainable ecological practices. Sanjay is a graduate of the Indian Institute of Technology, Kharagpur."
Rohit Mainkar,"Rohit Mainkar is Partner CEO of Open Arch Design Enviro Solutions LLP. His background includes decade long experience in the field of environmental services. His company provides comprehensive suite of tailored solutions to corporate landscape. He is based in Mumbai, Maharashtra, India and has worked in India for 5 years."
suresh rp,"phthalmologist suresh rp is the CEO of Evergreen ECO CONCEPTS. He is based in Tamil Nadu, India. He has been CEO of the company for 15 years and is currently working as a rp. He was born in Dindigul, Tamil Nadu India."
Dharmendra Rathore,"Dharmendra Rathore is the Founder and CEO of IOTomation Ecotech Pvt Ltd. He is based in Gurgaon, Haryana, India. He has been working at the company for 7 years 11 months. His company designs and manufactures intelligent building energy management solutions."
Virender Syal,"Virender Syal is a Director of a nan industry company based in Ludhiana Punjab, India. Syal's background includes nan industry, nanotechnology and nanomaterials. He has been working in the industry for 14 years and is currently working as a Director. He is the son of Virender, a former director of the company."
Nimish Adani,Nimish Adani is the founder and CEO of Housenama Engrave Awards. He is a chemical engineer by trade and has worked in advertising for 13 years. His company focuses on product design expertise deliver great value to customers. He believes single person team strengths and quirks talents are strengths and talents of single people.
Ramesh Kumar Nibhoria,Ramesh Kumar Nibhoria currently working Chief Executive Officer LWP BIOCOAL LLP. Based Punjab India nan industry. background includes 1990   committed biomass use thermal energy   replacing fossil fuels. biomass processing pellets   promoted use small medium scale year 2019.
Masood Mallick,Masood Mallick is the Chief Executive Officer of Sustainability Limited. Masood advises Government of India on environmental policy legislation and regulatory standards. He also chairs the CII National Committee Circular Economy Waste Worth Transformation. He has worked for KKR and Ramky Enviro for more than 25 years.
Sanjay Dube,"Sanjay Dube is the Chief Executive Officer of International Institute Energy Conservation IIEC. He is based in Gurgaon, Haryana, India. His background includes nan, energy conservation and business consulting. He has worked in the energy industry for over five years."
Dr. B. N. Mishra,Dr. B. N. Mishra is the CEO of Ankit Metal Power Limited. He has 26 years of experience in the mining industry. He is a Ph D faculty environmental engineering moove integrated steel plants manager. His background includes carrier S.M. .Dyechem Ltd.
Kapil Kumar Narula,Dr. Kapil Kumar Narula is CEO Executive Director of CII Triveni Water Institute. Dr. Narula worked 28 years providing scientific backstopping support analysis reporting water scarcity in India. He received German Aerospace Research DLR fellowship German Ministry Science Technology BMBF research scholarship undertaking research.
Harsh Patel,"Harsh Patel is the CEO of Envipure Group, a leading manufacturer of Reverse Vending Machines and Food Waste Composter Machines. He is based in Ahmedabad, Gujarat, India, where he has worked for 5 years. His LinkedIn profile includes Welcome LinkedIn profile."
KRISHNAJI ARJUNARAO PAWAR,itionally    KRISHNAJI ARJUNARAO PAWAR currently working CEO Sr Sustainability Environmental Specialist Smart Cities. Based Bengaluru Karnataka India Technology Information Internet industry. 21 years extensive international experience knowledge sustainability environmental management industrial contexts Qatar UAE India hold prestigious credentials LEED AP Building Design + Construction GSAS Design Build CGP demonstrate commitment green building standards practices.
Manish Khandelwal,"Manish Khandelwal is the Founder and Chief Executive Officer of BMRV Engineering Consultants. He is based in Delhi, India. His background includes Business Development, Sales Marketing, Project Management and Water Wastewater Business. He has been at the company for 5 years and 7 months."
Nidhi Singh,"Nidhi Singh is the Chief Executive Officer of Grow Billion Trees. He was born in Pune, Maharashtra, India. His background includes nan and environmental services. He is currently working as a Chief Executive of a company based in Pimpri Chinchwad. He has been at the company 6 months."
"Mehernosh Sassani Shroff( knight ) Indian Port Tug Boats,tugs towages",CEO of Seaworthy Shipping Services Tugs + Environmental clean Oil spill shore 900 mt. Based Mumbai Maharashtra India Environmental Services industry. H.E Mehernosh Sassani Shroff knight Indian Port Tug Boats tugs towages currently working Chief Executive Officer.
Akhil Barar,"Akhil Barar is the Chief Executive Officer of Organica Water. He has worked in the environmental services industry for 14 years. His background includes nan, nanotechnology and environmental services. He is a graduate of the Indian Institute of Technology, Kharagpur and the Delhi School of Economics."
Naveen Anand,"Naveen Anand is the Chief Executive Officer of Greenverz Solutions. His background includes Account Management, Business Process Consulting, and Project Management. He has worked for two years in the Indian Environmental Services industry. His company is based in Bengaluru, Karnataka, India."
Ajay Kumar,"Ajay Kumar is the Chief Executive Officer of Green Clean Planet. His background includes nan industry and nanotechnology. He is based in Delhi, India and has worked in the nan industry for 6 years. He has worked for Green CleanPlanet for six years and is a graduate of Harvard Business School."
Prasham Mehta,"Prasham Mehta is the Chief Executive Officer of Scale O. He is based in Ahmedabad, Gujarat, India. He has worked in the consumer services industry for three years. His background includes nan, nanomaterials, nanotechnology and nanotechnology. He also has a background in finance and finance."
ABHISHIEK AGARWAL,itionally    ABHISHIEK AGARWAL currently working Chief Executive Officer Goodeebag. Based Hyderabad Telangana India nan industry. background includes young entrepreneur 2010 business logistics Raghav Roadlines. New startup D wast goodeebag company India   digital app exclusively Residencial communities.
Jayakumar T.S. (Jayu),"Jayakumar T.S. Jayu currently working Promoter CEO Gayathri Enterprises. He is from Coimbatore Tamil Nadu India. His background includes nan industry. He has worked for the company for 55 years. For more information on Jayakumar, visit www.jayakumar.com."
parthasarathi bhattacharya,"phthalasarathi bhattacharya currently working ceo abira green energy pvt ltd. Based Kolkata West Bengal India nan industry. background includes nan. Currently working as ceo of abira Green Energy Pvt. ltd, based in West Bengal, India."
Sudip Sen,"Sudip Sen is the founder and CEO of Swachata Green Solutions in Kolkata, West Bengal, India. He has more than 40 years experience in industry commerce and business entrepreneurship. He pioneered sun rise products like multiwall paper sacks diamond tools bio toilets solar systems etc."
BIOMES LAB,                    BIOMES LAB currently working Chief Executive Officer. Based in Vadodara Gujarat India nan industry. background includes Environment consultant Analytical lab research.                      Based Vadadara GujaratIndia nan industry nan industry                      current role Chief Executive officer company 3 years 7 months.
CHINNUSAMY C.K,"Chinnusamy C.K currently working as Chief Executive Officer of WATERMART RETAIL INDIA PVT LTD in Bengaluru, Karnataka, India. His background includes Results oriented customer focused sales and Business Development. He has a proven track record of 20 + years driving new business."
Rohit Ranka,"Rohit Ranka is the Chief Executive Officer of Innovative Water Technologies Pvt Ltd. He is based in Bengaluru, Karnataka, India. His background includes nan industry. He has worked in the nan industry for more than a decade. He started his company in 2011."
Naser Azeez Mohammed,Naser Azeez Mohammed currently working Founder CEO AQUALITY Intelligent Solutions Private Limited. He is based in Hyderabad Telangana India Environmental Services industry. He has 18 years experience Marketing Sales Capital Items Consumables Oil Gas Industrial Infrastructure Projects. He was instrumental in establishing regional profit center branch Electrical Manufacturer UAE.
Viresh Kumar,"Viresh Kumar is the Chief Executive Officer of SERRAX TECHNOLOGIES LLP. He is based in New Delhi, India. His background includes nanotechnology. He has worked in the Consumer Goods industry for 3 years. He was formerly with Nan Nanotechnology, a nanomaterials company based in India."
Aashish Aggarwal,Aashish Aggarwal currently working Chief Executive Officer Enviroment Management Business JBM Group. Aashish has successful experience turning   manufacturing companies Steel Automotive sectors. He is a regular Jury Member Process Excellence competitions organised by CII national level. His hobbies include Amateur Radio Swimming leisure time.
Dr. Chirag Bhimani,"Dr. Chirag Bhimani is the Chief Executive Officer of Catamaran LLC in Ahmedabad, Gujarat, India. He is an experienced Sustainability Climate Change Mitigation Professional holding a Master Technology Environmental Engineering Degree. He has 25 years experience area pollution control sustainability climate change mitigation domain."
Sunain Dhingra,Sunain Dhingra currently working Founder CEO C tray. Based Gurugram Haryana India Environmental Services industry. background includes currently working democratize impact carbon credits order fulfill emissions targets necessary comply Paris Agreement. Currently working for a start-up company in India. Back to Mail Online home.
Competent Engineering Solution,"Competent Engineering Solution is a multidisciplinary Consultancy Organisation 2017. The company provides expert Engineering management solutions. The firm is based in Uttar Pradesh, India, and is a part of the Uttar Pradesh Civil Engineering industry. Its clients include the Indian government and the state of Uttar Pradesh in India."
Arnab Sinha,Arnab Sinha is the Founder CEO of Novonanmek Material Sciences Pvt Ltd. Arnab is a Carbon Capture Solution Provider. He is a CCUS Consultant developed technology Closed Loop Hybrid Sorben Carbon Capture point source direct air capture(DAC) Arnab invited present papers evaluate carbon capture technologies following events.
Krishnan Komandur,Krishnan Komandur is the Chief Executive Officer of Adar Poonawalla Clean City Initiative. Krishnan is a management professional with half decades experience in waste management. He is actively involved in driving the APCCI 2016 Pune initiative. He has introduced time-saving technology to fill potholes in Pune.
Hardik Bhaliya,"Hardik Bhaliya is the founder and CEO of Shrayati Ecovation Limited. He is based in Rajkot, Gujarat, India. He has been working at the company for 7 years 5 months. His background includes helping the planet and working as an ecopreneur."
Srinivas Ravindra,"Srinivas Ravindra is the Chief Executive Officer of Ecochoice Naturals Pvt Ltd. He is based in Bengaluru, Karnataka, India. He has been working at Ecochoice for 5 years and 7 months. His background includes strength setting putting place systems."
Arun Yadav,"Arun Yadav is the CEO of a company that works in the nan industry. His background includes nanotechnology and nanomaterials. Yadav has worked for the company for 13 years 11 months. He is a graduate of the Indian Institute of Technology, Kharagpur."
Ankur Parikh,Ankur Parikh is the CEO of Mumbai-based Cloudtap Water Purification Solutions. Parikh's background includes water air purification specialist and qualified computer engineer. Cloudtap's internet based water purification solution ensures purest drinking water business. The company also provides cutting edge disinfection solutions.
Hrishikesh Bhandari,"Hrishikesh Bhandari is the Chief Executive Officer of Saafwater. He is based in Goa, India. His background includes nan and nan-tech. He has worked in the Internet industry for 3 years and 3 months. His current role is as Chief Executive of the Goa-based company Saaf water."
Dr. Bhaskar Doraswamy,"Dr. Bhaskar Doraswamy is the Chief Executive Officer of Aqua Chem Tech International. His background includes nan industry. He is based in Bengaluru, Karnataka, India. For more information, visit www.aquachemtech.com. For confidential support, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details."
Param Desai," Param Desai is the Chief Executive Officer of Valiant Entech Private Ltd. He is based in Surat Gujarat, India. Desai's background includes Secured bachelors degree Management University Manchester specific emphasis Sustainable development innovation Alongside work experience Environmental Agricultural Textile sector extremely passionate finance pursuing CFA Charter deep advocate End Waste criteria."
Varun Sridharan,Varun Sridharan currently working CEO Co Founder Greenvironment Innovation Marketing India P Ltd. He was nominated by the Indian government to participate in the BRICS Youth Summit held July 1 7 2015 cities Moscow Kazan Russia. He is a Certified IMX Innermetrix Consultant cutting edge tools.
Kishor Patil,"Kishor Patil is CEO of Palak Aquapure Services. His background includes nan industry. He is based in Navi Mumbai, Maharashtra, India. He has been CEO for 10 years 11 months and is based at Palak's headquarters in Mumbai. He was born in Mumbai and grew up in Pune, Maharashtra."
Pragnesh Mehta,"Pragnesh Mehta is the Managing Director CEO of O3 Greentech. He is based in Surat, Gujarat, India. His background includes Manufacturing Ozone Generator and Industrial Machinery. He has worked for 10 years 11 months as Managing Director and CEO of his company."
Suhel Parker,"Suhel Parker is the founder and CEO of EPSCO India. Suhel Parker has decades experience committed sustainability prioritizing health safety and environmental preservation. He has led diverse projects Indian Subcontinent Middle East including Asbestos Lead Abatement, Smoke Fire Flood restorations, and chemical oil spills."
Dipak Naik,"Dipak Naik is the CEO of Naik Environment Research Institute Ltd. He has been in the Indian Navy for 24 years. His background includes 24 years in the fleet air arm of the Indian armed forces. He is currently based in Pune, Maharashtra, India."
Ramnik Malhotra,"Ramnik Malhotra is the CEO of Air Solutions, based in Gurugram, Haryana, India. His background includes 35 years distinguished cross industry experience. He is known for creating lean teams reducing overhead and implementing creative strategies. His teams comprised 2,400 employees managed P&L business divisions including party collections."
Swastik Pandey,"Swastik Pandey is the Managing Director of Blue Water Company in Pune, Maharashtra, India. His background includes Development Professional having experience planning quality implementation. He is also a Health Nutritional WASH FSM Waste management Projects expert. Swastik is a graduate of the Indian Institute of Technology, Pune."
Chethan Reddy,"Chethan Reddy is the Chief Executive Officer of Proion Fluid technologies. He is based in Karnataka, India. His background includes nanotechnology, environmental services and nanotechnology. He has been at Proion for 5 years 8 months and is currently in charge of the company's fluid technologies division."
SAMEER BAGCHI,"SAMEER BAGCHI is the Chief Executive Officer of Envro Queen Pvt Ltd. He is based in Dhar Madhya Pradesh, India. His background is in the nan industry. He has been at the company for 2 years and 10 months."
Prasad Pawar,"Prasad Pawar is the Director CEO of Techknowgreen Solutions Limited. He is based in Pune, Maharashtra, India. He has more than a decade of experience in the environmental services industry. His background includes helm driving sustainability corporate responsibility and research development work."
Siddharth Gupta,Siddharth Gupta currently working Founder CEO W360. Based Gurugram Haryana India Pharmaceutical Manufacturing industry. background includes entrepreneur field analytical testing services environment protection EPC projects Export medical devices Lab instruments find visit websites- www.simalab.com and www.w360.in.
Kishan Gowda gc,"Kishan Gowda gc currently working Chief Executive Officer. Based in Maddur Karnataka India Environmental Services industry. Background includes nan, nan and nan. Kishan is a graduate of the Indian Institute of Management, Bangalore. He has worked in the environmental services industry for over a decade."
Nikson Mathew,"Nikkon Mathew is the Chief Executive Officer of Ecodia Environ Pvt Ltd. He is based in Bengaluru, Karnataka, India. His background includes 28 years domestic international experience and 28 years in the environment industry. He has worked for two years and two months in his current role as CEO."
Imran Rathod,"Imran Rathod is the Chief Executive Officer of Green Infra Projects. He is based in Vadodara, Gujarat, India. His background includes seeking industrial experience 10 + years field Environmental engineering. He has extensive experience knowledge of water treatment. He also has skills in operation maintenance and MEE."
Ankur Kumar,"Ankur Kumar is the Founder and CEO of Raybeam Ventures based in Patna Bihar, India. His company focuses on pioneering projects including biochar production, carbon credit and renewable energy. He is passionate about the environment and has worked on a number of green energy projects."
Abhijeet Kumar,Abhijeet Kumar is the founder and CEO of Lambert Technovation Private Limited. He is passionate about solving the world's toughest water challenges. He has 6 + years experience M. Tech Water Engineering management turned bold ideas into market ready solutions. His company is revolutionizing water wastewater treatment cutting edge technology.
SUDHEER MATHUR,"Sudheer Mathur is the Chief Executive Officer of Balotra Water Pollution Control Treatment Reverse Osmosis Pvt Ltd. He is based in Jaipur, Rajasthan, India. Mathur's background includes nan industry. He has worked in the water industry for 6 years 5 months."
Parul Khatav,Parul Khatav currently working Founder CEO EcoBacs based in Pune Maharashtra India. Parul is a strong Biotech professional and has worked in the pharmaceutical industry. He is also an experienced Scientist and has a long history of working in the environmental services industry. His background includes time as a Director of SS Techno Limited and as a Scientist.
Anand Pendharkar,"Anand Pendharkar is an Ecologist, Social Entrepreneur, Author and TEDx Pecha Kucha Speaker. He is the Founder Director of Environment Consulting Services company SPROUTS. He has authored multiple books, including a travel book titled Mahabaleshwar Climate Actioneers Primer Beginners Toolkit 2023."
Sravan Kumar Dasika,Sravan Kumar Dasika currently working Founder CEO TwigsnTrails. Based Hyderabad Telangana India Retail industry. Background includes managing managed daily operations organizations numbering 100 employees. He has excellent oral written communication skills paired excellent time management leadership abilities. He is currently working as Founder CEO company.
Dr.K Panigrahi,"Dr. K Panigrahi currently working Chief Executive Officer CENTRE FIR GROUND WATER RECHARGE. He is based in Greater Raipur, Chhatisgarh M.P Orissa State, India. His company provides services such as rainwater harvesting, water quality analysis and water Wastewater Treatment."
Swapnil C.,"Swapnil C. is the Chief Executive Officer of Ecotaras Sustainable Solutions. He is based in Mumbai, Maharashtra, India. He has worked for Orange Vodafone India for 12 years. His background includes innovative results driven leader focused achieving exceptional results."
Ratnadeep Pawar," Ratnadeep Pawar is the Founder CEO of Green Apple Construction Solutions Provider. He is based in Mumbai, Maharashtra, India. He completed an international audit course at SGS India in 2011. His background includes Specialties Completed INTERNAL AUDITOR COURSE EMS -14001 and OHSAS18001."
Abhilash Tiwari,"Abhilash Tiwari is the Chief Executive Officer of ABCONS INFRA based in Bengaluru, Karnataka, India. He has 15 years experience in industries including hospitality, media and real estate. His career highlights include remarkable achievement selling 3200 houses in 7 days."
Mohammed Qhizer Jameel,"Mohammed Qhizer Jameel is the Co Founder CEO of Ecocrew. He is based in Bengaluru, Karnataka, India. His background includes MNC Startups tier Software companies. He has worked for a number of software companies in his career."
Sarvotham Pejavar,"                 Sarvotham Pejavar currently working CEO Founder of Zecomy Brand Eco eMarket Pvt Ltd. ZECOMY drives significant transformation waste management achieve ZERO WASTE ECONOMY. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details."
Adil sharif,"Adil sharif is the Chief Executive Officer of Shaan water solutions. He is based in Sangli, Maharashtra, India. His background includes nan industry. He has worked in the nan industry for 11 years. Adil is a graduate of the Indian Institute of Technology, Mumbai."
Prof. Ganesh Channa,"Prof. Ganesh Channa is the Chief Executive Officer of International Environmental Studies Olympiad. He is the founder of the Gandhi Peace Foundation Nepal and the Siddhant Universal Foundation. He has worked as a Lecturer, Social Worker and Assessor for 23 years. He was awarded prestigious National International Awards."
Vinod Sethi,"Vinod Sethi is the Technical CEO of Shree Techno Service. He is based in Faridabad, Haryana, India. His background includes Zero Liquid Discharge projects. He has worked for two years in the nan industry. His company is called Shree Technology Service."
Rodick Jose,"Rodick Jose is the founder and CEO of SDG, a nan industry company based in Chennai, Tamil Nadu, India. He is a Public Speaker Debater;Articulate communicator; and an accomplished communicator. He has been at the company for 5 months and is currently working on his second book."
Dinkar Saxena,Dinkar Saxena Chartered Engineer Environment based India completed 300 projects wastewater treatment STP Air emission Control etc. Has developed eco friendly self sustaining models water Pollution control. Holds patent pending titled Process Enhancement Yield Cottage Cheese Paneer Circulation Concentrated Whey.
Rajneesh Kumar Patel,"Rajneesh Kumar Patel currently working CEO Founder iRefill. Based in Indore Madhya Pradesh, India. Background includes nan and manufacturing industry. Currently working as CEO Founder of irefill, a manufacturer of refillable water bottles. Has been at company for 3 years and 2 months."
Kartikay Garg,"Kartikay Garg is the Chief Executive Officer of Recycle City in India. His background includes nan, nanotechnology and recycling. He is a graduate of the Indian Institute of Technology, Kharagpur. He has worked in the recycling industry for more than a decade."
Anil Shelke,"Anil Shelke is the Chief Executive Officer of Detox Corporation Private Limited India. His background includes nanotechnology and climate data analytics. He is currently based in Thane, Maharashtra, India. He has been at Detox for 10 months. He also has a successful start-up company in Mumbai, Mumbai."
Rita Roy Choudhury,Rita Roy Choudhury is Managing Partner Chief Executive Climate Change Sustainability Services business ECube Investment Advisors Pvt Ltd. Her background includes Senior Management Professional 26 years experience domains environment climate change renewable energy water sanitation sustainability sustainable finance sustainable mobility biodiversity waste management Spearheaded policy advocacy thought leadership partnerships programmes.
Dr. Prajakta Kulkarni,"Dr. Prajakta Kulkarni currently working Chief Executive Officer Environmental Services. He is based in Mumbai, Maharashtra, India. His background includes Environmental Planning, Environmental Diligence, and Environmental Examinations. He has 24 years experience as an EIA Coordinator Project Environmental Coordinator."
